"","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","lstat","medv","target","nope","yes"
"1",0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,4.03,34.7,0,0.997818072116469,0.00218192788353078
"2",0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,10.26,18.2,1,0.0173163297428068,0.982683670257193
"3",0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,12.8,18.4,1,0.0226980510577181,0.977301948942282
"4",0,8.14,0,0.538,5.95,82,3.99,4,307,21,27.71,13.2,1,0.0392427417821415,0.960757258217859
"5",0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,8.77,21,1,0.447851813467847,0.552148186532153
"6",25,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,13.15,18.7,0,0.90565376014002,0.0943462398599805
"7",25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,14.44,16,0,0.874484105117926,0.125515894882074
"8",0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,6.53,26.6,0,0.996030098958312,0.00396990104168837
"9",0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,8.44,22.2,0,0.99610715336528,0.00389284663471989
"10",0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,11.34,21.4,0,0.99710696362181,0.00289303637818994
"11",0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,25.41,17.3,0,0.882297195503826,0.117702804496174
"12",0,25.65,0,0.581,5.613,95.6,1.7572,2,188,19.1,27.26,15.7,0,0.974967444140571,0.0250325558594285
"13",0,21.89,0,0.624,5.637,94.7,1.9799,4,437,21.2,18.34,14.3,1,0.0915793634664119,0.908420636533588
"14",0,19.58,0,0.605,6.101,93,2.2834,5,403,14.7,9.81,25,1,0.0349101910633018,0.965089808936698
"15",0,19.58,0,0.605,5.88,97.3,2.3887,5,403,14.7,12.03,19.1,1,0.110169280360284,0.889830719639716
"16",0,10.59,1,0.489,5.96,92.1,3.8771,4,277,18.6,17.27,21.7,0,0.91361968094669,0.0863803190533105
"17",0,6.2,0,0.504,6.552,21.4,3.3751,8,307,17.4,3.76,31.5,1,0.0925315074821969,0.907468492517803
"18",0,6.2,0,0.507,8.247,70.4,3.6519,8,307,17.4,3.95,48.3,1,0.01197263849423,0.98802736150577
"19",22,5.86,0,0.431,6.957,6.8,8.9067,7,330,19.1,3.53,29.6,0,0.812325951369106,0.187674048630894
"20",90,2.97,0,0.4,7.088,20.8,7.3073,1,285,15.3,7.85,32.2,0,0.998079929383741,0.00192007061625887
"21",80,1.76,0,0.385,6.23,31.5,9.0892,1,241,18.2,12.93,20.1,0,0.986954185342802,0.013045814657198
"22",33,2.18,0,0.472,6.616,58.1,3.37,7,222,18.4,8.93,28.4,0,0.937070412404217,0.0629295875957835
"23",0,9.9,0,0.544,6.122,52.8,2.6403,4,304,18.4,5.98,22.1,0,0.636119195715915,0.363880804284085
"24",0,7.38,0,0.493,6.415,40.1,4.7211,5,287,19.6,6.12,25,0,0.624940167449661,0.375059832550339
"25",0,7.38,0,0.493,6.312,28.9,5.4159,5,287,19.6,6.15,23,0,0.896924182090216,0.103075817909784
"26",0,5.19,0,0.515,5.895,59.6,5.615,5,224,20.2,10.56,18.5,0,0.972651181288731,0.0273488187112692
"27",80,2.01,0,0.435,6.635,29.7,8.344,4,280,17,5.99,24.5,0,0.990009574555698,0.00999042544430162
"28",0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,7.12,27.5,1,0.000519064285289958,0.99948093571471
"29",0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,2.96,50,1,0.00124950708496906,0.998750492915031
"30",0,18.1,0,0.584,6.348,86.1,2.0527,24,666,20.2,17.64,14.5,1,0.0144702679186148,0.985529732081385
"31",0,18.1,0,0.74,5.935,87.9,1.8206,24,666,20.2,34.02,8.4,1,0.00268253003689422,0.997317469963106
"32",0,18.1,0,0.74,5.627,93.9,1.8172,24,666,20.2,22.88,12.8,1,0.00308070542564388,0.996919294574356
"33",0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,22.11,10.5,1,0.0023223403344276,0.997677659665572
"34",0,18.1,0,0.74,6.219,100,2.0048,24,666,20.2,16.59,18.4,1,0.00196059018275621,0.998039409817244
"35",0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,23.79,10.8,1,0.0018843464941147,0.998115653505885
"36",0,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,18.13,14.1,1,0.00138299482035073,0.998617005179649
"37",0,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,14.65,17.7,1,0.00110672363281082,0.998893276367189
"38",0,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,13.22,21.4,1,0.00584178815719,0.99415821184281
"39",0,9.69,0,0.585,5.794,70.6,2.8927,6,391,19.2,14.1,18.3,0,0.812099444238433,0.187900555761567
"40",0,11.93,0,0.573,6.976,91,2.1675,1,273,21,5.64,23.9,0,0.764935457728051,0.235064542271949
